"CAP1"	"CAP2"	"CAP3"	"CAP4"	"Genotype"	"Experiment"
"AMLEAF100Y"	-0.0481383785193759	-0.0381419339274295	0.216086139167909	0.0349727264169085	"Col-0"	"1"
"AMLEAF109Y"	-0.102801218765462	0.0430480046901303	0.14237544566256	0.0499269046054099	"Col-0"	"1"
"AMLEAF113Y"	-0.0703322316101034	0.198888010367955	-0.179566567626172	0.106466969946337	"msa1-3"	"1"
"AMLEAF11A"	0.190505478249763	0.232097360189906	0.0929241232300114	-0.324804381824653	"sultr2;1"	"2"
"AMLEAF11Y"	-0.0589785638111469	-0.216466533013394	-0.073525888670862	-0.22439063598379	"sdi2-1"	"1"
"AMLEAF122Y"	0.254860442605685	-0.0332599447674367	0.0764103438939197	0.159701319654109	"sultr2;2"	"1"
"AMLEAF123Y"	-0.0847148875169234	-0.0314013863365343	-0.208018177314464	-0.108091627597301	"sdi2-1"	"1"
"AMLEAF127Y"	-0.0250121497346042	0.092822492441329	0.140096985837162	0.000246196154453384	"Col-0"	"1"
"AMLEAF12"	-0.170777806254642	-0.144462698664154	0.191803327540134	0.0702977095154741	"Col-0"	"2"
"AMLEAF16A"	-0.24088582815581	0.199395613491997	-0.0739678077482391	0.225354809866031	"msa1-3"	"2"
"AMLEAF19Y"	0.00327552295883931	0.0898289794349588	0.154923192971525	0.098116769116629	"Col-0"	"1"
"AMLEAF1"	0.059881598852342	0.149309923449091	-0.0984906187864338	-0.068773618057749	"msa1-3"	"2"
"AMLEAF25Y"	-0.0304169817235316	-0.105792723068145	-0.121817190138055	-0.224685876360028	"sdi2-1"	"1"
"AMLEAF26A"	0.186744995688424	-0.206316839347115	-0.107929121391084	0.0115103138537811	"sdi2-1"	"2"
"AMLEAF26B"	-0.0726673081288478	-0.0733837235453376	0.199065574805367	0.0467359300562764	"Col-0"	"2"
"AMLEAF27A"	0.418022952225295	-0.0504611856312987	-0.0568447078421296	0.0252514856703672	"sultr2;2"	"2"
"AMLEAF27B"	0.0874399617004948	0.0114307308026524	-0.0362266747196167	0.120145140012729	"msa1-3"	"2"
"AMLEAF27D"	-0.217099017133277	0.0700249690629688	-0.0295817217074768	0.0106194380338915	"msa1-3"	"2"
"AMLEAF29"	0.0290880269158492	-0.0834559061720686	-0.179247006648862	-0.184327520318317	"sdi2-1"	"2"
"AMLEAF30"	-0.17900254641058	-0.0311446201680336	0.219120793681697	0.119564851532617	"Col-0"	"2"
"AMLEAF33B"	-0.226368322049661	0.096145804379555	0.207097364772194	0.201593814856297	"Col-0"	"2"
"AMLEAF34A"	0.062785437859988	-0.232670317026674	-0.085138348769934	-0.0359992692727468	"sdi2-1"	"2"
"AMLEAF34B"	0.222036857122647	0.288654162394103	-0.00403398120699768	-0.257062433778921	"sultr2;1"	"2"
"AMLEAF35B"	0.322009597346484	0.152139343208761	-0.00687795753339964	0.0627396314250475	"sultr2;2"	"2"
"AMLEAF37Y"	-0.0900513568310925	0.167145826142578	-0.117414756868266	0.111868060215959	"msa1-3"	"1"
"AMLEAF39A"	-0.108509075380654	-0.0126706367327129	0.157252350833497	0.0818662906551772	"Col-0"	"2"
"AMLEAF3A"	0.230657318986417	-0.0267504671163361	0.0411411132521875	0.0583142112859002	"sultr2;2"	"2"
"AMLEAF42Y"	-0.109002588925596	-0.151471410597615	-0.0563059185131154	-0.141818236318601	"sdi2-1"	"1"
"AMLEAF46Y"	0.0758707308370325	-0.0060241717088466	-0.0264049616879899	0.105487397225389	"sultr2;2"	"1"
"AMLEAF51B"	0.0735319358104089	0.0770835183289668	-0.191825892603668	0.17843420098315	"msa1-3"	"2"
"AMLEAF53"	-0.199050437712083	-0.112868797558864	0.247175371401912	0.00375813201526953	"Col-0"	"2"
"AMLEAF57A"	0.313083543417191	-0.200152668309634	0.0149067117189448	0.251671299118827	"sultr2;2"	"2"
"AMLEAF58"	-0.153264850022576	0.0668349448287392	-0.119309111667792	0.0491460840393104	"msa1-3"	"2"
"AMLEAF5A"	-0.203197750449829	-0.104688562457204	0.309393449897807	0.0681029589390707	"Col-0"	"2"
"AMLEAF5C"	0.16357956692612	0.267052363414558	0.0433762275725295	-0.2187354029606	"sultr2;1"	"2"
"AMLEAF60"	-0.0336297563167857	-0.365242345888145	-0.171480377827262	-0.0345230770373852	"sdi2-1"	"2"
"AMLEAF63B"	-0.0833064033306939	-0.272926125084166	-0.0874346149411262	-0.0616581063197599	"sdi2-1"	"2"
"AMLEAF65Y"	0.369150205096271	-0.0923094704979677	0.172286551023732	0.0890022510334147	"sultr2;2"	"1"
"AMLEAF65"	-0.312110244473333	0.390105281665973	-0.476684115593189	0.306101534798152	"msa1-3"	"2"
"AMLEAF68A"	0.0136311790489854	0.0529728378058326	0.183185519162348	-0.353499273667293	"sultr2;1"	"2"
"AMLEAF68B"	0.0197133505914386	0.219136520800464	-0.204450658019831	0.208393720251913	"msa1-3"	"2"
"AMLEAF70"	-0.094909505244581	-0.171302115618865	-0.197010488963569	-0.051491151755003	"sdi2-1"	"2"
"AMLEAF71B"	0.337479994040274	-0.157610614360736	0.0541678040516823	0.180386171047873	"sultr2;2"	"2"
"AMLEAF73B"	0.0335973883524299	0.0251520550804418	0.106158257494358	-0.28537432408757	"sultr2;1"	"2"
"AMLEAF75Y"	-0.0837085440599923	0.0831342608404192	-0.119125197737884	-0.0568022181088906	"msa1-3"	"1"
"AMLEAF76A"	-0.157681102916174	-0.200964396622622	-0.0121235492393507	-0.138691445771453	"sdi2-1"	"2"
"AMLEAF76B"	0.0801316242528137	-0.0897607302376303	0.206439566054228	0.14895068241565	"Col-0"	"2"
"AMLEAF7A"	-0.0605905638719438	-0.117120566721895	-0.0945466006324311	-0.0416152282959901	"sdi2-1"	"2"
"AMLEAF7B"	-0.178348362534565	-0.0164854519610428	0.0614806455913829	0.0492624504801161	"Col-0"	"2"
"AMLEAF8A"	-0.109977070640407	0.091833491669013	0.0804823251665222	-0.265784423617628	"sultr2;1"	"2"
"AMLEAF8B"	-0.0104154693623868	0.117174542544068	-0.091232376024462	0.0667983080415396	"msa1-3"	"2"
"AMLEAF9A"	0.0106656623636673	0.299589041514333	0.0619724995821876	-0.183781168238241	"sultr2;1"	"2"
"AMLEAF9B"	-0.0427950493622039	-0.135693735406889	-0.152707293942138	-0.038878343891149	"sdi2-1"	"2"
